序号,井号,层位,取样日期,分析日期,取样条件,,,,,物理性质,,,,,阳离子(mg/L),,,,,,,,,阴离子(mg/L),,,,,,,,"总矿化度
(mg/L)",微量元素(mg/L),,,,Na+            —          Cl-,Na+-Cl          —         2SO42-,SO42-×102—                   Cl-,Cl--Na+   — 2Mg2+,Cl--Na+                         —             Mg2+,水型,相对密度,pH,,,,,,,,,,,,,,,
75,SY9,MK组,2016-09-29 00:00:00,2016-10-08 00:00:00,分离器,/,45/100,47.03,25.01,无,无,咸,透明,少量黑色,387,1866,5240,4134,29,5,0,0,11661,26603,165,0,303,0,82,8,27161,38822,/,41,54,62,0.108263370100463,-194.399955464009,,1.93976733500009,,氯化钙,1.0303,5.308,,,,,,,,,,,,,,,
76,SY9,MK组,2016-10-09 00:00:00,2016-10-12 00:00:00,分离器,4549.00-4607.50,45%,46.6,25.54,淡黄色,硫化氢,咸,不透明,无,483.4383,2282.3201,6116.8905,4574.4277,42.4322,3.1305,0,0,13502.6393,23306.7728,152.7701,0,298,0,79.2521,13.316,23850.111,37352.7503,/,25,70,39,0.151145398332267,-175.101542274658,,1.46194682033415,,氯化钙,1.0241,5.348,,,,,,,,,,,,,,,
77,SY9,MK组,2016-10-16 00:00:00,2016-10-18 00:00:00,分离器,4549.00-4607.50,41%,46.47,25.43,灰黑色,硫化氢,咸味,半透明,无,496.3562,2300.5179,6085.7744,4162.0837,40.633,6.6595,0,0,13092.0247,21759.8416,153.7488,0,442,0,62.5185,10.3452,22428.4541,35520.4788,/,44,52,57,0.16318130585065,-160.1357332321,,1.47886723310943,,氯化钙,1.0243,5.734,,,,,,,,,,,,,,,
78,SY9,MK组,2016-10-23 00:00:00,2016-10-25 00:00:00,分离器,4549.00-4607.50,41/100,46.13,25.73,灰白,硫化氢,咸,透明,无,389,1840,4699,3605,29,4,0,0,10566,17047,117,0,265,0,33,6,17468,28034,/,29,31,58,0.166598228427289,-164.183459732755,,1.33214041530738,,氯化钙,1.0189,5.818,,,,,,,,,,,,,,,
79,SY9,MK组,2016-10-29 00:00:00,2016-11-02 00:00:00,分离器,4549.00-4607.50,0.39,46.56,25.46,无,硫化氢,咸味,透明,黑色,372,1790,4689,3282,0,0,0,0,10133,18186,74,0,226,0,46,0,18532,28665,/,41,37,35,0.170540056723408,-275.621929716235,,1.55362757457353,,氯化钙,1.019,5.778,,,,,,,,,,,,,,,
80,SY9,MK组,2016-11-04 00:00:00,2016-11-08 00:00:00,分离器,4549.00-4607.50,39%,45.95,25.32,无,硫化氢,咸味,透明,黑色沉淀,318.657,1496.2197,3880.1425,3025.6465,14.1443,0,0,0,8734.81,14006.0755,89.2538,0,298,0,45.9352,14.643,14453.9075,23188.7175,/,33,44,50,0.164884344685618,-177.194100021316,,1.30676590643376,,氯化钙,1.0159,5.701,,,,,,,,,,,,,,,
81,SY9,MK组,2016-11-14 00:00:00,2016-11-16 00:00:00,分离器,4549.60-4607.50,39/100,45.78,25.11,无,硫化氢,咸,透明,少量黑色,301,1463,3629,2632,26,3,0,0,8054,13708,211,0,250,0,44,13,14226,22280,/,31,39,47,0.16472925996879,-73.3722425216869,,1.47051131953609,,氯化钙,1.0144,5.388,,,,,,,,,,,,,,,
82,SY9,MK组,2016-11-21 00:00:00,2016-11-24 00:00:00,分离器,4549.00-4607.50,39%,45.64,24.92,无,硫化氢,咸味,透明,少量黑色沉淀,266.8304,1250.281,3146.6063,2192.0434,14.5644,2.4224,0,0,6872.7479,7901.1193,49.9179,0,467,0,29.7287,0,8447.7659,15320.5138,/,21,17,46,0.244241539737067,-161.744013141716,,0.920821352534222,,氯化镁,1.0131,6.34,,,,,,,,,,,,,,,
83,SY9,MK组,2016-11-30 00:00:00,2016-12-01 00:00:00,分离器,4549.00-4607.50,39/100,45.47,24.75,无,硫化氢,咸,透明,无,248,1214,2968,2440,0,0,0,0,6870,11016,71,0,281,0,48,22,11438,18308,/,24,56,291,0.170096460484355,-174.102929887962,,1.26652746127513,,氯化钙,1.012,6.44,,,,,,,,,,,,,,,
84,SY9,MK组,2016-12-09 00:00:00,2016-12-20 00:00:00,分离器,4549.00-4607.50,39/100,45.33,24.58,无,硫化氢,咸,透明,黑色,295,1374,3498,2394,17,0,0,0,7578,10541,75,0,226,0,44,19,10905,18483,/,23,47,46,0.201189557957953,-151.801886099204,,1.18892454651632,,氯化钙,1.0142,5.537,,,,,,,,,,,,,,,
85,SY9,MK组,2016-12-23 00:00:00,2017-01-04 00:00:00,分离器,4549.00-4607.50,39/100,45.12,23.9,无,硫化氢,咸,透明,少量黑色,222,1047,2466,1742,13,0,0,0,5490,8234,65,0,284,0,38,10,8631,14121,/,18,37,56,0.196262052359781,-137.665419944416,,1.28419235022776,,氯化钙,1.0102,6.046,,,,,,,,,,,,,,,
86,SY9,MK组,2016-12-30 00:00:00,2017-01-09 00:00:00,分离器,4549.00-4607.50,39%,45.01,23.8,无,硫化氢,咸味,透明,无,189.9981,904.2225,2142.2875,1606.962,14.9976,1.4012,0,0,4859.8689,6707.041,54.2452,0,248,0,25.098,3.476,7037.8602,11897.7291,/,24,15,34,0.208086959918559,-132.391476323275,,1.1172638356494,,氯化钙,1.0095,5.64,,,,,,,,,,,,,,,
87,SY9,MK组,2017-02-26 00:00:00,2017-03-01 00:00:00,分离器,4549.00-4607.50,39,44.27,22.53,无,硫化氢,咸,透明,无,70,504,962,785,21,3,0,22,2367,3912,23,0,249,0,22,4,4210,6577,/,19,10,51,0.198853027473993,-184.245160946777,,1.34956646553372,,氯化钙,1.0063,5.641,,,,,,,,,,,,,,,
88,SY9,MK组,2017-03-30 00:00:00,2017-04-10 00:00:00,分离器,4549.00-4607.50,42%,43.34,23.32,灰,硫化氢,咸味,透明,无,133.7643,727.1428,1482.9783,1210.8725,11.9308,2.9229,0,24.1813,3593.7929,5654.7691,36.7406,0,239,0,23.0054,3.8618,5957.3769,9551.1698,/,36,15,449,0.198474789067484,-166.801020440222,,1.26527969947002,,氯化钙,1.006,5.365,,,,,,,,,,,,,,,
89,SY9,MK组,2017-04-29 00:00:00,2017-05-19 00:00:00,分离器,4549.00-4607.50,44%,42.46,23.66,灰白色,硫化氢,咸味,半透明,无,139.1951,761.0513,1495.4769,1239.0674,14.0875,3.6385,0,21.4803,3673.997,5895,302.8836,0,247,0,95.1049,95.6742,6635.6627,10309.6597,/,16,315,73,0.1992648239112,-21.0721982023426,,1.28774739199802,,氯化钙,1.0054,6.08,,,,,,,,,,,,,,,
90,SY9,MK组,2017-05-28 00:00:00,2017-06-07 00:00:00,分离器,4549.00-4607.50,43%,42.24,26.57,无,硫化氢,咸味,透明,无,113.6989,642.4606,1207.172,997.0535,10.6405,1.5389,0,20.0732,2992.6376,4669.8305,34.4754,0,207,0,12.8391,19.8014,4943.9464,7936.584,/,10,27,44,0.212346887015539,-144.257925214909,,1.24701173882697,,氯化钙,1.0048,7.33,,,,,,,,,,,,,,,
91,SY9,MK组,2017-06-27 00:00:00,2017-07-05 00:00:00,分离器,4549.00-4607.50,43%,42.42,18.21,无,硫化氢,咸味,透明,无,76.5642,437.3448,757.4186,642.6311,4.6244,2.031,0,17.444,1938.0581,2892.8923,52.0129,0,174,0,17.4748,6.7856,3143.1656,5081.2237,/,17,23,36,0.233341625370688,-57.6548657484408,,1.16660894823137,,氯化钙,1.0029,5.678,,,,,,,,,,,,,,,
92,SY9,MK组,2017-07-30 00:00:00,2017-08-01 00:00:00,分离器,4549.00-4607.50,44%,41.8,24.72,灰白色,硫化氢,咸味,半透明,无,105.3686,592.9235,1085.0779,902.0349,7.1746,1.0291,0,18.9756,2712.5842,4297.7195,24.5017,0,215,0,7.7961,2.4043,4547.4216,7260.0058,/,0,10,0,0.212941894557962,-186.664413035304,,1.2675771882183,,氯化钙,1.0041,5.935,,,,,,,,,,,,,,,
93,SY9,MK组,2017-08-30 00:00:00,2017-09-07 00:00:00,分离器,4549.00-4607.0,44%,41.36,24.11,无,硫化氢,咸味,半透明,无,92.1935,496.6124,865.6566,726.8033,5.6689,1.6999,0,14.2821,2202.9167,3372.2633,59.1685,0,194,0,1.7864,2.0914,3629.3096,5832.2263,/,0,17,0,0.227298515948699,-59.5464050630497,,1.21190680751348,,氯化钙,1.0036,5.994,,,,,,,,,,,,,,,
94,SY9,MK组,2017-09-30 00:00:00,2017-10-11 00:00:00,分离器,4549.00-4607.50,40/100,41.95,27.97,无,硫化氢,咸,透明,无,72,435,675,547,5,5,0,14,1753,2523,34,0,205,0,14,2,2778,4531,/,0,18,0,0.266116941529235,-73.63394690393,,1.14422038150531,,氯化钙,1.0028,6.507,,,,,,,,,,,,,,,
95,SY9,MK组,2017-10-30 00:00:00,2017-11-02 00:00:00,分离器,4549.00-4607.50,40%,41.57,27.4,无,硫化氢,微咸,透明,无,80,447,802,671,19,1,0,15,2035,2762,17.5027,0,239,0,13.6958,1,3033.1985,5068.1985,/,0,0,0,0.249795359380411,-160.070483185464,,1.0438396594822,,氯化钙,1.0021,5.874,,,,,,,,,,,,,,,
96,SY9,MK组,2017-11-29 00:00:00,2017-12-12 00:00:00,分离器,4549.00-4607.50,48/100,40.14,27.84,灰白,无,咸,半透明,无,91,537,929,773,0,0,0,0,2330,3587,17,0,261,0,15,0,3880,6210,/,/,/,/,0.254162575807162,-212.784265696481,,1.16990055525232,,氯化钙,1.0032,5.632,,,,,,,,,,,,,,,
97,SY9,MK组,2017-12-30 00:00:00,2018-01-12 00:00:00,分离器,4549.00-4607.50,40/100,40.33,13.18,无,无,咸,透明,无,46,288,420,351,7,6,0,0,1118,1695,18,0,222,0,6,0,1941,3059,/,0,0,0,0.286957837169457,-90.7873401688466,,1.16394025857496,,氯化钙,1.001,6.286,,,,,,,,,,,,,,,
98,SY9,MK组,2018-01-28 00:00:00,2018-02-11 00:00:00,分离器,4549.00-4607.50,40/100,40.12,13.05,无色,硫化氢,无味,透明,无,67.4417,353.154,541.1722,469.7667,3.7297,0,0,0,1435.2643,2377,20,0,183,0,15,62,2657,4092.2643,/,0,0,0,0.255142937098326,-119.697480913844,,1.27400985333618,,氯化钙,1.0018,5.67,,,,,,,,,,,,,,,
99,SY9,MK组,2018-02-27 00:00:00,2018-03-15 00:00:00,分离器,4549.00-4607.50,43%,39.17,13.77,无,硫化氢,无,透明,无,7.2177,0,32.8729,19.4546,0,0,0,0,59.5452,38.8034,6.2731,0,205,0,0,0,250.0765,309.6217,/,10,0,21,0,-8.36373866415082,,0.674218038588361,,氯化镁,1.0022,5.069,,,,,,,,,,,,,,,
100,SY9,MK组,2018-03-30 00:00:00,2018-04-13 00:00:00,分离器,4549.00-4607.50,43/100,38.88,13.87,无色,硫化氢,咸味,透明,无,65.2751,368.5041,507.5545,460.7424,7.8849,5.3844,0,0,1415.3454,2244.7718,3.2004,0,151,0,12.1655,2.9192,2414.0569,3829.4023,/,0,0,0,0.253379014914257,-708.077856158978,,1.22960919748822,,氯化钙,1.001,5.646,,,,,,,,,,,,,,,
101,SY9,MK组,2018-04-29 00:00:00,2018年5月4日至2018年5月10日,分离器,4549.00-4607.50,43/100,38.65,13.52,    无, 硫化氢,咸味,    透明,少量黑色沉淀,82,412,655,581,8,6,0,0,1745,2909,33,0,187,0,15,6,3150,4894,/,0,0,0,0.22,-93.49,,1.32,,氯化钙,1.0011,5.397,,,,,,,,,,,,,,,
102,SY9,MK组,2018-05-28 00:00:00,2018年6月7日至2018年6月13日,分离器,4549.00-4607.50,45/100,37.64,14.34,无,硫化氢,咸味,透明,无,53,176,303,267,5,0,0,0,804,2702,20,0,196,0,0,0,2918,3722,/,0,6,0,0.1,-162.62,,3.07,,氯化钙,1.0017,5.948,,,,,,,,,,,,,,,
104,SY9,MK组,2018-06-29 00:00:00,2018年7月5日至2018年7月13日,分离器,4549.00-4607.50,46/100,38.11,24.23,无,硫化氢,咸味,透明,无,40,207,271,219,0,2,0,0,740,1066,9,0,151,0,0,0,1226,1966,/,0,0,0,0.3,-114.99,,1.15,,氯化钙,1.0005,6.114,,,,,,,,,,,,,,,
105,SY9,MK组,2018-07-30 00:00:00,2018年8月2日至2018年8月8日,分离器,4549.00-4607.50,47/100,36.82,24.1,无,硫化氢,咸味,透明,无,59,279,494,422,5,0,0,0,1258,2362,20,0,178,0,7,0,2567,3825,/,0,16,0,0.18,-130.36,,1.55,,氯化钙,1.0017,6.402,,,,,,,,,,,,,,,
106,SY9,MK组,2018-08-30 00:00:00,2018年9月4日至2018年9月10日,分离器,4549.00-4607.50,53/100,34.52,25.18,灰白色,硫化氢,咸味,半透明,无,78,416,767,567,9,8,0,0,1844,3906,28,0,211,0,16,5,4165,6009,/,0,19,0,0.16,-155.31,,1.95,,氯化钙,1.0038,6.296,,,,,,,,,,,,,,,
107,SY9,MK组,2018-09-30 00:00:00,2018年10月10日至2018年10月17日,分离器,4549.00-4607.50,53/100,33.85,24.03,    无, 硫化氢,咸味,    透明,无,64,368,633,438,4,1,0,0,1508,2488,25,0,219,0,10,0,2742,4250,/,0,0,0,0.23,-104.43,,1.48,,氯化钙,1.0024,6.264,,,,,,,,,,,,,,,
108,SY9,MK组,2018-11-29 00:00:00,2018年12月5日至2018年12月10日,分离器,4549.00-4607.50,53/100,32.31,21.24,无,硫化氢,咸味,透明,无,69,374,649,478,3,0,0,0,1574,2444,26,0,184,0,10,4,2668,4241,/,0,15,0,0.24,-97.7,,1.32,,氯化钙,1.0033,5.759,,,,,,,,,,,,,,,
109,SY9,MK组,2018-12-31 00:00:00,2019-01-02 00:00:00,分离器,4549.00-4607.50,53/100,25.8,19.6,无,硫化氢,咸味,透明,无,65,311,524,368,0,0,0,0,1268,1922,19,0,208,0,0,2,2151,3420,/,0,0,0,0.25,-102.62,,1.32,,氯化钙,1.0008,6.301,,,,,,,,,,,,,,,
110,SY9,MK组,2019-01-31 00:00:00,2019-02-02 00:00:00,分离器,4549.00-4607.50,53/100,31.67,19.61,灰白色, 硫化氢,咸味,透明,无,54,254,425,295,0,1,0,0,1029,1967,22,0,197,0,12,7,2206,3235,/,0,0,0,0.2,-94.98,,1.81,,氯化钙,1.0007,6.339,,,,,,,,,,,,,,,
111,SY9,MK组,2019-02-27 00:00:00,2019-03-01 00:00:00,分离器,4549.00-4607.50,52/100,32.42,21.42,无,硫化氢,咸味,透明,无,43,170,304,183,12,6,0,0,718,869,12,0,182,0,2,4,1070,1788,/,0,0,0,0.3,-65.83,,1.12,,氯化钙,1.0004,6.216,,,,,,,,,,,,,,,
112,SY9,MK组,2019-03-30 00:00:00,2019-04-02 00:00:00,分离器,4549.00-4607.50,52/100,31.33,20.79,白色,硫化氢,咸味,半透明,无,52,284,373,259,14,14,0,0,996,1423,19,0,190,0,0,58,1690,2686,/,0,0,0,0.31,-70.07,,1.29,,氯化钙,1.0008,6.302,,,,,,,,,,,,,,,
113,SY9,MK组,2019-04-30 00:00:00,2019年5月7日,分离器,4549.00-4607.50,52/100,31.61,21.21,无,硫化氢,咸味,透明,无,56.0548,256.7667,354.0235,243.2239,3.7065,0.581,0,0,914.3564,1262.5932,32.2456,0,192,0,19.0504,4.2704,1510.1596,2424.516,/,0,0,0,0.313888764461283,-36.3245630812297,,1.20393938598561,,氯化钙,1.0013,6.154,,,,,,,,,,,,,,,
114,SY9,MK组,2019-05-31 00:00:00,2019-06-06 00:00:00,分离器,4549.00-4607.50,52/100,31.42,18.44,无,硫化氢,咸味,透明,无,43,261,392,280,0,2,0,0,978,1575,22,0,126,0,1,3,1726,2704,/,/,0,0,0.26,-73.66,,1.41,,氯化钙,1.0011,6.063,,,,,,,,,,,,,,,
115,SY9,MK组,2019-06-29 00:00:00,2019-07-02 00:00:00,分离器,4549.0-4607.5,52/100,31.63,17.3,无,硫化氢,咸味,透明,无,52,299,340,222,10,7,0,0,931,1158,31,0,183,0,7,5,1384,2315,/,/,9,0,0.4,-30.79,,1.06,,氯化钙,1.0007,6.069,,,,,,,,,,,,,,,
116,SY9,MK组,2019-08-30 00:00:00,2019年9月5日,分离器,4549.00-4607.50,52/100,31.35,14.05,浅灰,硫化氢,无,不透明,无,33.0884,196.6862,318.9887,201.747,4.1996,0,0,0,753.4146,1158.2813,32.682,0,0,0,0,1.1182,1192.0815,1945.4961,/,/,0,0,0.262095981272462,-35.360482233123,,1.43205509913769,,氯化钙,1.001,6.154,,,,,,,,,,,,,,,
117,SY9,MK组,2019-09-29 00:00:00,2019-10-09 00:00:00,分离器,4549.00-4607.50,32/100,34.16,9.48,无,硫化氢,咸味,透明,少量黑色沉淀,32,185,309,184,0,0,0,0,710,1047,54,0,/,0,5,0,1106,1816,/,/,0,0,0.27,-18.89,,1.4,,氯化钙,1.0008,6.347,,,,,,,,,,,,,,,
118,SY9,MK组,2019-10-30 00:00:00,2019-11-04 00:00:00,分离器,4549.00-4607.50,55/100,30.2,11.3,无色,硫化氢,咸味,透明,无,54,271,448,305,4,0,0,0,1082,1469,28,0,/,0,0,0,1498,2580,/,0,0,0,0.28,-49.85,,1.16,,氯化钙,1.0004,6.054,,,,,,,,,,,,,,,
119,SY9,MK组,2019-11-29 00:00:00,2019年12月4日,分离器,4549.00-4607.50,50/100,30.9,6.55,无,硫化氢,咸味,透明,无,36.1844,222.6102,339.6326,241.1272,3.2381,0,0,9.8274,852.6199,1022.5977,11.5199,0,/,0,4.4988,0.8906,1039.507,1892.1269,/,0,0,0,0.336001151134827,-79.6959612479626,,0.951872604978207,,氯化镁,0.9999,6.123,,,,,,,,,,,,,,,
120,SY9,MK组,2020-01-30 00:00:00,2020-02-04 00:00:00,分离器,4549.00-4607.50,65/100,29.81,6.64,灰色,硫化氢,咸味,透明,无,46,280,322,216,5,0,0,0,870,1026,14,0,/,0,2,1,1042,1912,/,0,0,0,0.42,-57.41,,0.93,,氯化镁,0.9998,6.175,,,,,,,,,,,,,,,
121,SY9,MK组,2020-02-28 00:00:00,2020-03-03 00:00:00,分离器,4549.00-4607.50,35/100,33.16,5.62,无,硫化氢,无,不透明,无,20,118,199,101,7,0,0,0,444,534,17,0,/,0,4,3,558,1002,/,0,0,0,0.34,-27.36,,1.18,,氯化钙,0.9993,6.268,,,,,,,,,,,,,,,
122,SY9,MK组,2020-03-30 00:00:00,2020年4月1日,分离器,4549.00-4607.50,55/100,28.87,7.45,无色,硫化氢味,0,透明,无,39.9779,324.6733,303.5447,212.7709,0,0,0,0,898.4271,1096.6208,36.2426,0,/,0,2.2213,4.2306,1139.3153,2037.7424,/,0,0,0,0.456973076230893,-22.2162820448168,,0.94605961580916,,氯化镁,1,6.095,,,,,,,,,,,,,,,
123,SY9,MK组,2020-04-29 00:00:00,2020-05-07 00:00:00,分离器,4549.00-4607.50,52/100,29.35,5.01,淡黄色,硫化氢味,0,透明,无,26.8153,185.133,241.2542,164.4733,2.9197,0.0445,0,0,621,897.2012,7.8037,0,/,0,3.161,0,908.1659,1529.1659,/,0,0,0,0.318489053369038,-105.943666946939,,1.25666687807964,,氯化钙,0.9997,6.555,,,,,,,,,,,,,,,
124,SY9,MK组,2020-05-30 00:00:00,2020年6月4日,分离器,4549.00-4607.50,54/100,28.62,6.06,无色,硫化氢味,0,透明,无,26.6144,184.5241,311.0775,220.1757,2.7336,0,0,12.2922,757.4175,887.8827,14.7826,0,/,0,3.6462,0,906.3115,1663.729,/,0,0,0,0.320773157261113,-55.161046068221,,0.925878377595806,,氯化镁,0.9999,6.034,,,,,,,,,,,,,,,
125,SY9,MK组,2020-08-02 00:00:00,2020年8月4日,分离器,4549.00-4607.50,48/100,31.31,14.07,无色,无气味,0,不透明,无,10.1632,62.9706,69.1542,45.9194,1.3845,0,0,2.6026,192.1945,279.096,10.5591,0,/,0,3.2406,0.6807,293.5764,485.7709,/,0,0,0,0.34824487693809,-23.2929260153606,,1.33904371076709,,氯化钙,0.9989,6.293,,,,,,,,,,,,,,,
126,SY9,MK组,2020-08-30 00:00:00,2020年9月1日,分离器,4549.00-4607.50,48/100,32.93,10.73,浅灰色,无气味,0,不透明,无,6.5567,38.9296,41.6403,25.5259,0,0,0,1.2772,115.3768,151.6313,8.5413,0,/,0,2.8054,0.5426,163.5206,278.8974,/,0,0,0,0.396270369668715,-14.4917307913556,,1.21228066599224,,氯化钙,0.9988,6.231,,,,,,,,,,,,,,,
127,SY9,MK组,2020-09-29 00:00:00,2020年10月10日,分离器,4549.00-4607.50,68/100,31.04,11.39,无色,硫化氢味,0,透明,无,23.5368,189.9797,156.2584,107.656,3.6111,0,0,4.4574,485.4994,673.7264,26.7203,0,/,0,5.4808,1.8968,707.8243,1193.3237,/,0,0,0,0.435235337306838,-19.2540739333301,,1.19471890029529,,氯化钙,0.9995,6.248,,,,,,,,,,,,,,,
128,SY9,MK组,2020-10-30 00:00:00,2020-11-05 00:00:00,分离器,4549.00-4607.50,47/100,30.82,10.19,无色,硫化氢味,0,透明,无,49.2178,352.6209,443.2079,322.4135,8.5207,0,0,12.0606,1188.0414,1624.8407,40.8441,0,/,0,6.2905,19.4911,1691.4664,2879.5078,/,0,0,0,0.334963725045945,-35.7717080333691,,1.13291101340804,,氯化钙,1.0009,6.193,,,,,,,,,,,,,,,
129,SY9,MK组,2020-11-28 00:00:00,2020年12月3日,分离器,4549.00-4607.50,47/100,30.68,9.42,灰白色,硫化氢味,0,半透明,无,39.1908,211.418,230.2373,142.6903,5.4376,0,0,22.4008,651.3748,756.5317,31.0536,0,/,0,4.8008,3.3526,795.7387,1447.1135,/,0,0,0,0.431335642586453,-18.7319965316552,,1.01915814791792,,氯化钙,1,6.597,,,,,,,,,,,,,,,
130,SY9,MK组,2020-12-30 00:00:00,2021年1月5日,分离器,4549.00-4607.50,48/100,30.07,7.85,浅灰色,硫化氢味,0,不透明,无,28.2259,276.638,299.4542,188.2555,0,0,0,0,792,914.4287,47.9305,0,/,0,0,5.886,968.2452,1760.2452,/,0,0,0,0.466941533145706,-13.7507257040684,,0.875245555055296,,氯化镁,1.0003,6.428,,,,,,,,,,,,,,,
131,SY9,MK组,2021-01-30 00:00:00,2021-02-02 00:00:00,分离器,4549.00-4607.50,48/100,29.71,6.37,无色,硫化氢味,0,透明,无,25.2055,187.5684,205.0967,139.6317,7.5507,0,0,15.4979,580.5509,794.8976,0,0,/,0,3.6465,0,798.5441,1379.095,/,0,0,0,0.364207600860899,0,,1.22347580362229,,氯化钙,1.0005,6.185,,,,,,,,,,,,,,,
132,SY9,MK组,2021-02-27 00:00:00,2021年3月3日,分离器,4549.00-4607.50,48,29.47,6.11,无色,硫化氢味,0,透明,无,25.1039,175.3252,193.4019,132.3646,0,0,0,0,526,736.3352,36.8681,0,/,0,4.0041,0,777.2074,1303.2074,/,0,0,0,0.367510116021356,-17.0801339960904,,1.18935139792146,,氯化钙,1.0001,5.951,,,,,,,,,,,,,,,
133,SY9,MK组,2021-03-26 00:00:00,2021-03-30 00:00:00,分离器,4549.00-4607.50,48/100,29.31,5.93,灰色,硫化氢味,0,半透明,无,20.7895,138.2429,152.1922,101.2216,0,0,0,0,412.4462,613.796,13.8707,0,/,0,2.2517,0.6606,630.579,1043.0252,/,0,0,0,0.347631641244917,-39.032956546789,,1.33720083058741,,氯化钙,1.0004,6.555,,,,,,,,,,,,,,,
134,SY9,MK组,2021-04-29 00:00:00,2021年5月6日,分离器,4549.00-4607.50,48/100,29.09,5.84,无色,硫化氢味,0,透明,无,27.4709,196.9459,202.8192,127.1415,0,0,0,0,554,707.4822,52.4388,0,/,0,0,0,759.921,1313.921,/,/,6,/,0.429666944578099,-10.4040923947429,,1.07277741781685,,氯化钙,1.0006,6.184,,,,,,,,,,,,,,,
135,SY9,MK组,2021-05-15 00:00:00,2021-05-19 00:00:00,分离器,4549.00-4607.50,48/100,28.99,5.66,灰白色,硫化氢味,0,不透明,无,23.5347,183.4891,190.5025,128.3166,7.3882,0.2946,0,8.9018,542.4275,696.9947,0,0,/,0,2.2522,0.3435,699.5904,1242.0179,/,/,3,/,0.406332267600488,0,,1.0900413413016,,氯化钙,1.0005,6.211,,,,,,,,,,,,,,,
136,SY9,MK组,2021-05-22 00:00:00,2021年5月25日,分离器,4549.00-4607.50,48/100,28.94,5.73,无色,硫化氢味,0,透明,无,18.3361,162.3609,170.339,93.8073,0,0,0,0,445,488.2946,48.9373,0,/,0,3.1872,2.191,542.6101,987.6101,/,/,5,/,0.513215832338136,-6.56736638881639,,0.856514309599105,,氯化镁,1.0005,6.067,,,,,,,,,,,,,,,
137,SY9,MK组,2021-05-30 00:00:00,2021年6月2日,分离器,4549.00-4607.50,48/100,28.88,5.71,灰白色,硫化氢味,0,半透明,无,28.7525,170.6948,221.6648,142.3486,0,0,0,0,563,774.1255,33.1364,0,/,0,3.1994,3.8413,814.3026,1377.3026,/,/,4,/,0.340337210237201,-20.8372748796337,,1.2126432492513,,氯化钙,0.9994,6.026,,,,,,,,,,,,,,,
138,SY9,MK组,2021-06-05 00:00:00,2021-06-09 00:00:00,分离器,4549.00-4607.50,38/100,30.49,5.21,灰色,硫化氢味,0,不透明,无,16.2725,111.7119,132.9305,78.4751,5.0529,0.3704,0,11.1138,355.9271,373.2956,0,0,/,0,1.615,2.5063,377.4169,733.344,/,/,4,/,0.461899066397876,0,,0.86524207810881,,氯化镁,1.0001,6.146,,,,,,,,,,,,,,,
139,SY9,MK组,2021-07-25 00:00:00,2021年7月30日,分离器,4549.00-4607.50,50/100,31.03,4.22,灰白色,硫化氢味,0,透明,无,6,60,58,28,0,0,0,0,152,239,53,0,/,0,7,9,308,460,/,/,5,/,0.387484082226669,-3.73467053345504,,1.76729944886712,,氯化钙,1,5.996,,,,,,,,,,,,,,,
140,SY9,MK组,2021-07-30 00:00:00,2021年8月6日,分离器,4549.00-4607.50,50/100,4.22,29.91,无色,硫化氢味,0,透明,无,15.8322,111.2756,102.184,60.3,0,0,0,0,290,311.7007,62.6338,0,/,0,7.7271,17.2502,399.3118,689.3118,/,/,7,/,0.551014064341907,-3.02116634269674,,0.784523749897177,,氯化镁,1.0003,5.994,,,,,,,,,,,,,,,
141,SY9,MK组,2021-08-08 00:00:00,2021年8月13日,分离器,4549.00-4607.50,50/100,29.83,4.22,灰色,硫化氢味,0,不透明,无,16.6374,148.2564,141.1548,70.5872,0,0,0,0,377,408.798,42.1983,0,/,0,4.2507,2.1182,457.3652,834.3652,/,/,7,/,0.559764310086602,-5.7664952587406,,0.861828691593212,,氯化镁,1.0005,6.399,,,,,,,,,,,,,,,
142,SY9,MK组,2021-08-14 00:00:00,2021年8月19日,分离器,4549.00-4607.50,50/100,29.85,4.22,无色,硫化氢味,0,透明,无,27.4825,119.2578,109.3637,66.7304,0,0,0,0,323,385.3234,54.6671,0,/,0,3.8677,4.8114,448.6696,771.6696,/,/,5,/,0.477707353716723,-4.97767048266445,,1.01945593778423,,氯化钙,1.0002,6.055,,,,,,,,,,,,,,,
143,SY9,MK组,2021-08-21 00:00:00,2021年8月25日,分离器,4549.00-4607.50,50/100,29.78,4.22,灰色,硫化氢味,0,不透明,无,13.506,102.4722,103.9426,70.1958,0,0,0,0,290,422.3709,20.5567,0,/,0,4.2776,1.3386,448.5438,738.5438,/,/,4,/,0.37446616952891,-17.3781794646207,,1.27229129734388,,氯化钙,1.0006,6.635,,,,,,,,,,,,,,,
144,SY9,MK组,2021-08-29 00:00:00,2021年9月6日,分离器,4549.00-4607.50,50/100,29.66,4.22,白色,硫化氢味,0,半透明,无,15.5908,113.5509,130.0733,75.1499,0,0,0,0,334,429.5467,16.1169,0,/,0,3.5758,2.2237,451.4631,785.4631,/,/,4,/,0.408019304192475,-21.3328708823546,,1.1437797878767,,氯化钙,0.999,6.348,,,,,,,,,,,,,,,
